iter	Passed	Remaining
0	385	385303
1	522	260679
2	639	212666
3	784	195319
4	917	182564
5	1036	171705
6	1155	163931
7	1275	158213
8	1379	151904
9	1498	148333
10	1618	145500
11	1731	142599
12	1845	140139
13	1970	138755
14	2085	136951
15	2211	135995
16	2334	134982
17	2459	134157
18	2578	133148
19	2696	132145
20	2823	131607
21	2950	131153
22	3063	130139
23	3180	129340
24	3301	128766
25	3438	128799
26	3557	128186
27	3689	128068
28	3826	128116
29	3957	127955
30	4076	127424
31	4195	126907
32	4311	126351
33	4442	126206
34	4561	125771
35	4680	125327
36	4801	124968
37	4937	125005
38	5058	124634
39	5175	124211
40	5292	123802
41	5445	124212
42	5570	123967
43	5696	123778
44	5813	123374
45	5948	123372
46	6074	123164
47	6187	122727
48	6311	122495
49	6440	122368
50	6562	122115
51	6677	121732
52	6798	121475
53	6936	121525
54	7058	121284
55	7174	120940
56	7294	120676
57	7425	120596
58	7548	120385
59	7671	120180
60	7788	119887
61	7912	119708
62	8029	119416
63	8139	119034
64	8256	118763
65	8382	118630
66	8506	118458
67	8622	118180
68	8741	117945
69	8863	117759
70	9000	117763
71	9177	118287
72	9323	118401
73	9459	118371
74	9604	118457
75	9789	119014
76	9959	119388
77	10120	119632
78	10273	119767
79	10440	120070
80	10591	120173
81	10790	120805
82	10946	120942
83	11066	120680
84	11194	120507
85	11322	120332
86	11454	120211
87	11573	119941
88	11705	119812
89	11830	119615
90	11957	119445
91	12089	119320
92	12150	118504
93	12273	118296
94	12410	118227
95	12533	118026
96	12656	117827
97	12773	117569
98	12929	117669
99	13059	117538
100	13185	117365
101	13310	117184
102	13444	117088
103	13565	116874
104	13684	116641
105	13803	116418
106	13943	116366
107	14180	117124
108	14480	118370
109	14668	118681
110	14794	118488
111	14936	118427
112	15096	118504
113	15241	118454
114	15462	118994
115	15632	119129
116	15812	119337
117	15978	119432
118	16163	119665
119	16293	119489
120	16464	119608
121	16621	119622
122	16777	119624
123	16933	119624
124	17051	119358
125	17177	119151
126	17380	119475
127	17531	119435
128	17680	119375
129	17831	119332
130	17984	119299
131	18128	119206
132	18277	119147
133	18430	119109
134	18554	118884
135	18695	118768
136	18881	118938
137	19053	119014
138	19212	119006
139	19397	119155
140	19545	119077
141	19678	118903
142	19920	119386
143	20186	119996
144	20417	120392
145	20564	120289
146	20731	120298
147	20888	120249
148	21035	120141
149	21185	120052
150	21314	119840
151	21516	120041
152	21668	119955
153	21805	119788
154	21956	119700
155	22088	119504
156	22238	119408
157	22422	119493
158	22566	119360
159	22709	119226
160	22897	119325
161	23039	119180
162	23208	119176
163	23419	119383
164	23664	119758
165	23920	120177
166	24122	120323
167	24265	120172
168	24455	120250
169	24581	120013
170	24723	119860
171	24868	119715
172	25040	119703
173	25189	119578
174	25316	119349
175	25490	119342
176	25616	119110
177	25734	118842
178	25871	118662
179	26016	118521
180	26137	118268
181	26268	118064
182	26425	117974
183	26553	117760
184	26673	117509
185	26793	117257
186	26918	117031
187	27040	116790
188	27154	116518
189	27282	116309
190	27441	116232
191	27563	115994
192	27683	115752
193	27798	115492
194	27918	115252
195	28038	115014
196	28152	114754
197	28268	114503
198	28410	114355
199	28527	114109
200	28645	113868
201	28772	113665
202	28901	113471
203	29030	113274
204	29142	113017
205	29261	112785
206	29400	112632
207	29524	112419
208	29643	112193
209	29762	111965
210	29891	111773
211	30009	111545
212	30124	111306
213	30244	111084
214	30368	110881
215	30504	110720
216	30624	110503
217	30742	110276
218	30861	110057
219	30979	109836
220	31095	109609
221	31207	109367
222	31325	109148
223	31464	109000
224	31580	108776
225	31697	108557
226	31887	108586
227	32047	108512
228	32163	108288
229	32283	108080
230	32420	107926
231	32539	107717
232	32658	107506
233	32777	107297
234	32901	107104
235	33018	106889
236	33134	106673
237	33251	106459
238	33383	106297
239	33513	106126
240	33629	105913
241	33748	105708
242	33865	105499
243	33987	105306
244	34099	105083
245	34164	104714
246	34276	104494
247	34409	104337
248	34530	104146
249	34642	103927
250	34762	103734
251	34889	103559
252	35020	103399
253	35151	103241
254	35265	103029
255	35318	102643
256	35451	102490
257	35569	102296
258	35685	102096
259	35814	101932
260	35976	101863
261	36128	101766
262	36237	101548
263	36357	101360
264	36487	101201
265	36608	101018
266	36725	100822
267	36844	100635
268	36964	100451
269	37080	100255
270	37200	100069
271	37320	99886
272	37450	99730
273	37567	99540
274	37687	99358
275	37810	99185
276	37934	99012
277	38057	98840
278	38190	98693
279	38307	98505
280	38439	98355
281	38562	98185
282	38677	97991
283	38795	97809
284	38921	97645
285	39042	97469
286	39155	97275
287	39272	97091
288	39417	96974
289	39540	96805
290	39656	96621
291	39773	96438
292	39893	96261
293	40008	96074
294	40132	95910
295	40249	95728
296	40385	95593
297	40587	95612
298	40755	95550
299	40907	95449
300	41032	95289
301	41170	95154
302	41456	95363
303	41643	95342
304	41848	95360
305	42075	95426
306	42359	95619
307	42588	95686
308	42806	95724
309	43290	96356
310	43518	96412
311	43776	96531
312	44002	96580
313	44456	97125
314	44676	97152
315	44836	97051
316	44998	96952
317	45129	96788
318	45258	96618
319	45489	96664
320	45724	96718
321	46079	97025
322	46329	97104
323	46638	97307
324	46912	97433
325	47237	97663
326	47523	97808
327	47793	97917
328	48029	97957
329	48192	97846
330	48394	97812
331	48595	97775
332	48779	97706
333	48970	97647
334	49119	97505
335	49293	97413
336	49477	97340
337	49639	97222
338	49805	97112
339	49992	97043
340	50189	96993
341	50351	96874
342	50541	96810
343	50735	96750
344	50908	96652
345	51059	96510
346	51215	96378
347	51389	96282
348	51532	96124
349	51677	95973
350	51854	95879
351	51981	95693
352	52118	95526
353	52251	95352
354	52396	95199
355	52533	95032
356	52672	94869
357	52808	94701
358	52943	94530
359	53073	94352
360	53218	94200
361	53348	94022
362	53502	93886
363	53657	93753
364	53789	93578
365	53919	93401
366	54041	93210
367	54166	93024
368	54290	92837
369	54431	92680
370	54555	92493
371	54671	92295
372	54788	92098
373	54911	91911
374	55029	91715
375	55151	91527
376	55276	91346
377	55433	91215
378	55564	91043
379	55725	90919
380	55849	90736
381	55975	90557
382	56107	90386
383	56218	90184
384	56347	90009
385	56473	89831
386	56608	89666
387	56730	89482
388	56851	89296
389	56967	89102
390	57088	88918
391	57211	88736
392	57333	88554
393	57460	88378
394	57580	88192
395	57705	88016
396	57825	87830
397	57951	87655
398	58076	87479
399	58204	87306
400	58328	87129
401	58475	86986
402	58607	86820
403	58728	86638
404	58903	86537
405	59049	86392
406	59172	86215
407	59289	86027
408	59439	85888
409	59562	85712
410	59684	85533
411	59814	85365
412	59974	85241
413	60125	85105
414	60248	84928
415	60381	84765
416	60506	84592
417	60634	84424
418	60755	84245
419	60880	84073
420	60999	83892
421	61118	83712
422	61241	83537
423	61379	83384
424	61506	83215
425	61627	83038
426	61749	82863
427	61880	82700
428	62000	82523
429	62123	82350
430	62249	82181
431	62383	82022
432	62552	81910
433	62705	81777
434	62825	81600
435	62951	81432
436	63069	81254
437	63201	81093
438	63321	80919
439	63476	80788
440	63595	80612
441	63738	80466
442	63854	80286
443	63982	80122
444	64100	79945
445	64219	79770
446	64351	79611
447	64483	79453
448	64611	79289
449	64737	79123
450	64857	78950
451	64981	78782
452	65097	78605
453	65217	78433
454	65342	78267
455	65487	78125
456	65624	77973
457	65747	77805
458	65866	77633
459	65991	77467
460	66108	77294
461	66244	77141
462	66381	76991
463	66528	76852
464	66664	76699
465	66785	76530
466	66915	76372
467	67036	76203
468	67159	76038
469	67282	75872
470	67418	75720
471	67540	75554
472	67676	75402
473	67943	75396
474	68092	75260
475	68255	75138
476	68418	75016
477	68577	74889
478	68749	74777
479	68876	74616
480	68990	74440
481	69100	74261
482	69225	74098
483	69351	73936
484	69485	73783
485	69613	73624
486	69753	73477
487	69879	73316
488	69989	73138
489	70100	72962
490	70223	72797
491	70353	72641
492	70476	72478
493	70602	72317
494	70795	72225
495	70938	72083
496	71069	71927
497	71181	71753
498	71267	71552
499	71404	71404
500	71520	71234
501	71642	71072
502	71763	70907
503	71897	70755
504	72010	70585
505	72118	70408
506	72238	70243
507	72364	70085
508	72491	69927
509	72603	69756
510	72720	69589
511	72844	69429
512	72970	69271
513	73082	69101
514	73194	68930
515	73317	68770
516	73443	68613
517	73558	68445
518	73669	68275
519	73784	68109
520	73918	67959
521	74057	67815
522	74166	67643
523	74287	67482
524	74422	67334
525	74543	67173
526	74653	67004
527	74767	66837
528	74879	66669
529	74993	66504
530	75102	66333
531	75265	66210
532	75404	66066
533	75528	65910
534	75652	65754
535	75768	65590
536	75902	65443
537	76021	65282
538	76136	65118
539	76260	64962
540	76386	64808
541	76509	64652
542	76620	64485
543	76734	64321
544	76849	64158
545	76969	64000
546	77082	63836
547	77190	63668
548	77311	63510
549	77442	63362
550	77555	63198
551	77671	63037
552	77785	62875
553	77906	62718
554	78020	62556
555	78130	62391
556	78244	62230
557	78370	62078
558	78494	61925
559	78611	61766
560	78721	61602
561	78838	61443
562	78987	61310
563	79136	61176
564	79246	61013
565	79368	60858
566	79496	60709
567	79618	60554
568	79734	60396
569	79849	60237
570	79964	60078
571	80071	59913
572	80183	59752
573	80303	59597
574	80438	59454
575	80556	59298
576	80675	59143
577	80788	58984
578	80907	58829
579	81022	58671
580	81131	58509
581	81247	58353
582	81378	58207
583	81496	58052
584	81607	57892
585	81720	57734
586	81859	57594
587	81974	57438
588	82099	57288
589	82206	57126
590	82340	56983
591	82470	56837
592	82647	56724
593	82787	56585
594	82905	56431
595	83019	56275
596	83125	56113
597	83241	55958
598	83363	55807
599	83486	55657
600	83599	55501
601	83715	55346
602	83833	55193
603	83950	55040
604	84063	54884
605	84172	54725
606	84289	54572
607	84428	54433
608	84543	54280
609	84660	54127
610	84770	53970
611	84889	53818
612	85002	53664
613	85122	53513
614	85238	53360
615	85372	53219
616	85500	53074
617	85613	52919
618	85730	52767
619	85843	52613
620	85959	52461
621	86070	52306
622	86191	52157
623	86306	52005
624	86450	51870
625	86561	51715
626	86676	51563
627	86791	51411
628	86910	51261
629	87023	51108
630	87133	50954
631	87242	50799
632	87367	50653
633	87499	50512
634	87615	50361
635	87724	50207
636	87838	50055
637	87955	49905
638	88067	49753
639	88189	49606
640	88303	49455
641	88443	49318
642	88502	49137
643	88612	48984
644	88728	48834
645	88849	48688
646	88963	48538
647	89072	48385
648	89178	48230
649	89290	48079
650	89421	47938
651	89534	47788
652	89649	47639
653	89766	47491
654	89882	47342
655	89994	47192
656	90109	47043
657	90223	46894
658	90336	46744
659	90474	46607
660	90590	46460
661	90712	46315
662	90824	46165
663	90941	46018
664	91056	45870
665	91161	45717
666	91282	45572
667	91411	45432
668	91527	45284
669	91641	45136
670	91758	44990
671	91874	44843
672	91991	44697
673	92100	44546
674	92240	44412
675	92425	44298
676	92563	44162
677	92696	44023
678	92834	43887
679	92956	43744
680	93074	43598
681	93185	43450
682	93304	43305
683	93461	43178
684	93591	43038
685	93712	42894
686	93842	42754
687	93974	42616
688	94095	42472
689	94211	42326
690	94363	42197
691	94521	42070
692	94666	41937
693	94791	41795
694	94923	41656
695	95039	41511
696	95156	41366
697	95277	41223
698	95413	41086
699	95557	40953
700	95692	40816
701	95816	40674
702	95951	40537
703	96084	40399
704	96207	40257
705	96328	40114
706	96487	39987
707	96614	39846
708	96744	39707
709	96872	39567
710	96993	39424
711	97112	39281
712	97228	39136
713	97364	39000
714	97516	38870
715	97641	38729
716	97762	38587
717	97881	38443
718	98013	38305
719	98130	38161
720	98248	38018
721	98378	37879
722	98523	37746
723	98642	37604
724	98762	37461
725	98885	37320
726	99015	37181
727	99132	37038
728	99250	36895
729	99374	36754
730	99519	36622
731	99647	36483
732	99766	36340
733	99888	36199
734	100010	36058
735	100131	35916
736	100250	35774
737	100430	35654
738	100578	35522
739	100730	35391
740	100854	35251
741	100981	35112
742	101114	34975
743	101236	34833
744	101356	34692
745	101498	34558
746	101626	34419
747	101750	34279
748	101878	34140
749	102009	34003
750	102135	33863
751	102256	33722
752	102410	33592
753	102548	33457
754	102677	33319
755	102798	33178
756	102926	33039
757	103056	32901
758	103184	32763
759	103311	32624
760	103463	32493
761	103601	32358
762	103734	32221
763	103859	32082
764	103992	31945
765	104120	31807
766	104248	31668
767	104397	31536
768	104534	31401
769	104670	31265
770	104794	31125
771	104926	30988
772	105050	30849
773	105168	30708
774	105295	30569
775	105449	30439
776	105576	30300
777	105718	30166
778	105853	30030
779	105977	29891
780	106100	29751
781	106223	29612
782	106351	29474
783	106504	29343
784	106654	29211
785	106792	29075
786	106936	28942
787	107073	28806
788	107217	28672
789	107347	28535
790	107502	28404
791	107628	28266
792	107744	28125
793	107869	27986
794	107992	27847
795	108114	27707
796	108243	27570
797	108383	27435
798	108535	27303
799	108677	27169
800	108803	27031
801	109034	26918
802	109234	26798
803	109355	26658
804	109488	26522
805	109626	26386
806	109759	26249
807	109879	26109
808	110014	25973
809	110134	25833
810	110250	25693
811	110382	25556
812	110537	25424
813	110661	25286
814	110776	25145
815	110894	25005
816	111030	24869
817	111161	24732
818	111281	24593
819	111405	24454
820	111553	24321
821	111704	24188
822	111837	24052
823	111972	23916
824	112103	23779
825	112251	23646
826	112383	23509
827	112563	23382
828	112749	23257
829	112880	23120
830	113028	22986
831	113162	22850
832	113320	22718
833	113473	22585
834	113632	22454
835	113788	22322
836	113932	22187
837	114075	22052
838	114200	21914
839	114328	21776
840	114467	21641
841	114641	21512
842	114927	21404
843	115128	21279
844	115288	21147
845	115464	21018
846	115699	20899
847	115905	20775
848	116102	20649
849	116275	20519
850	116437	20386
851	116574	20250
852	116701	20111
853	116831	19973
854	116948	19833
855	117060	19692
856	117178	19552
857	117304	19413
858	117435	19276
859	117554	19136
860	117669	18996
861	117783	18856
862	117893	18715
863	118008	18575
864	118123	18435
865	118239	18295
866	118371	18158
867	118495	18020
868	118625	17882
869	118743	17743
870	118887	17607
871	119000	17467
872	119110	17327
873	119226	17188
874	119344	17049
875	119472	16911
876	119590	16772
877	119706	16633
878	119824	16494
879	119943	16355
880	120054	16216
881	120166	16076
882	120282	15937
883	120418	15801
884	120542	15663
885	120666	15525
886	120787	15387
887	120904	15249
888	121021	15110
889	121135	14971
890	121251	14833
891	121367	14694
